mV_1,uA_1,i1_bac1,i1_bac2,i1_bac3,i1_bac4,i1_bac5,mV_2,uA_2,i2_bac1,i2_bac2,i2_bac3,i2_bac4,i2_bac5,mV_3,uA_3,i3_bac1,i3_bac2,i3_bac3,i3_bac4,i3_bac5,mV_4,uA_4,i4_bac1,i4_bac2,i4_bac3,i4_bac4,i4_bac5,mV_5,uA_5,i5_bac1,i5_bac2,i5_bac3,i5_bac4,i5_bac5
-100.0,4.24307,6.686342738820447,-7.973344961844495,-10.580881811628103,-11.820629537352223,-12.425151867182098,-100.0,-10.40364,5.462408732084716,-9.064203189517313,-11.66210753209652,-12.888600486399442,-13.456266862364854,-100.0,-13.05098,5.966073640445605,-8.536653132905725,-11.123861812671045,-12.3466224184395,-12.898584420142457,-100.0,-14.28833,6.656781451080208,-7.822804339618691,-10.406763200912241,-11.635926573295476,-12.190361255139567,-100.0,-14.86384,7.2023686727576735,-7.253370326673324,-9.838656135122179,-11.077639432597906,-11.64139033281323
-90.0,14.02673,7.112111614138118,-7.144897342797085,-9.733607284534923,-10.966713342422866,-11.579249918482539,-90.0,0.67491,5.436874090047009,-8.704448145883964,-11.284646655166247,-12.503603693133662,-13.074976511134144,-90.0,-1.82855,5.729314359327668,-8.4018804665044,-10.969184682371939,-12.1813610902364,-12.730885460801268,-90.0,-2.97957,6.287287203333406,-7.831028005459993,-10.391983946392292,-11.607184871919474,-12.153510702692845,-90.0,-3.55508,6.737635738014363,-7.364579501435771,-9.923810546170513,-11.14555648867452,-11.696339131681126
-80.0,5.36532,7.388458103130125,-6.496125952757003,-9.067805767766664,-10.296795196855948,-10.919281245475918,-80.0,-8.44691,5.390955296603442,-8.383923708645984,-10.947112566021037,-12.159332014842697,-12.7362915209009,-80.0,-11.0367,5.441781114892994,-8.338144668186677,-10.886317946270632,-12.088323742291687,-12.63725422465719,-80.0,-12.27404,5.841138616928832,-7.937180045278885,-10.475868822105001,-11.677035062042002,-12.216853620575286,-80.0,-12.87833,6.177904664827832,-7.592850368682465,-10.126686616966124,-11.330652668569206,-11.869731647184745
-70.0,4.87614,7.663512386130967,-5.864540770994407,-8.419882466591936,-9.645613320824932,-10.279696165760933,-70.0,-8.70589,5.340275573788123,-8.08502201833843,-10.632070369734958,-11.838441076204838,-12.423115332668,-70.0,-11.2669,5.132457247071788,-8.312999525726761,-10.843140254621234,-12.035690140028713,-12.586581225494218,-70.0,-12.50425,5.356783325366055,-8.098411260166664,-10.61612203948742,-11.803690628641977,-12.339729913566547,-70.0,-13.10853,5.568014400192472,-7.888347520371183,-10.398238258581644,-11.584604176965446,-12.114719829881462
-60.0,11.09164,8.01065230456218,-5.170435497090638,-7.709537788321511,-8.931723227831117,-9.578402727196188,-60.0,-1.45447,5.3098592565295,-7.780038621127887,-10.311970614282368,-11.513477245664003,-12.108327142308127,-60.0,-3.95794,4.839523620323063,-8.284165842751607,-10.797721851356252,-11.981895371127663,-12.538144885701673,-60.0,-5.16651,4.882318565417054,-8.261590332104934,-10.760201803557598,-11.935215709297928,-12.471465618695175,-60.0,-5.82834,4.962768208185738,-8.19064769896066,-10.678865384644297,-11.848650707977768,-12.374149601039436
-50.0,5.45165,8.350194756152918,-4.502252355153316,-7.026027162999213,-8.24508369288618,-8.905243529520027,-50.0,-7.46855,5.332103838092288,-7.433457777200376,-9.95145608143526,-11.149244697712998,-11.757190116238776,-50.0,-10.00078,4.610354524870688,-8.19970181344314,-10.698478126564288,-11.875782636338615,-12.441747226554254,-50.0,-11.20935,4.474790121993635,-8.364265380432917,-10.846248830553579,-12.010437746766735,-12.552234865782433,-50.0,-11.81364,4.425759899053923,-8.430227037690415,-10.899850780788293,-12.055002769168553,-12.58189215896104
-40.0,5.04879,8.792835420121671,-3.735909661404741,-6.244741338476587,-7.461349238210971,-8.137680767946598,-40.0,-7.66997,5.447783086582624,-7.000951980017603,-9.506349298650496,-10.701790433002392,-11.326330653828398,-40.0,-10.17344,4.500939785229399,-7.998784178650642,-10.484929944806346,-11.657356055149522,-12.238433662185157,-40.0,-11.38201,4.198900452514937,-8.336248545655526,-10.804632217165398,-11.960469202903047,-12.51451504607736,-40.0,-11.98629,4.027652318309591,-8.530520863118591,-10.985364193705088,-12.128806789223948,-12.664719478606838
-30.0,14.40082,9.32015465688077,-2.892628734330257,-5.3873320163332705,-6.602012718479573,-7.295923108655681,-30.0,3.12083,5.70543373846852,-6.430210153914522,-8.924471256533954,-10.119208375667407,-10.764509937219934,-30.0,0.67491,4.574677783000906,-7.613151107131112,-10.089121540901363,-11.2591827667564,-11.86184506708958,-30.0,-0.53366,4.125096297520192,-8.101842782099299,-10.560133092404703,-11.710858359488089,-12.285156417529135,-30.0,-1.33937,3.843917510152631,-8.410530732340078,-10.855010839692042,-11.99064579741279,-12.544705076813196
-20.0,6.37245,9.799756487862936,-2.1230431602652664,-4.605382771513808,-5.818532687970201,-6.52836951842884,-20.0,-5.59814,6.163489021822199,-5.658622514475815,-8.14329674995305,-9.339296394031111,-10.010336541258235,-20.0,-8.07283,4.90044643065823,-6.969298300755041,-9.437788264462382,-10.608536317845275,-11.240293561668373,-20.0,-9.2814,4.327046086670453,-7.582687600242135,-10.034744530222543,-11.1843479355843,-11.788047473150456,-20.0,-9.94323,3.9520848656071377,-7.9879149601909605,-10.42686360585554,-11.55951623610441,-12.142095070266082
-10.0,5.7394,10.381756839636335,-1.261492202803251,-3.7324309769213593,-4.944813804860745,-5.6713579257719715,-10.0,-6.08732,6.8932130815195425,-4.609988928016803,-7.086627344888712,-8.286224151884227,-8.988994584058526,-10.0,-8.56201,5.549791107912603,-5.991598878250165,-8.455446412351655,-9.630453226910644,-10.299731376488216,-10.0,-9.74181,4.8785666920639335,-6.701148646516001,-9.151014813546261,-10.304169620998136,-10.947308302325824,-10.0,-10.40364,4.428582724164572,-7.182458900172022,-9.620878618945168,-10.756182612165238,-11.378556775006663
